Rom;Fullstendig bookinginformasjon;Gjester;Rengjøring
Internatet 211 (seng6);;;
Internatet 212 (seng1);;;
Internatet 212 (seng2);;;
Internatet 212 (seng3);;;
Internatet 212 (seng4);;;
Internatet 212 (seng5);;;
Internatet 212 (seng6);;;
Internatet 226 (seng1);;;
Internatet 226 (seng2);;;
Internatet 226 (seng3);;;
Internatet 226 (seng4);;;
Internatet 227 (seng1);;;
Internatet 227 (seng2);;;
Internatet 227 (seng3);;;x
Internatet 228 (seng1);;;
Internatet 228 (seng2);;;
Internatet 228 (seng3);;;x
Internatet 229 (seng3);Sperret room Utleid 03/06/2024 - 03/06/2029;;
Internatet 230 (seng2);;;
Internatet 230 (seng3);;;
Internatet 230 (seng4);;;
Internatet 301 (seng1);;;
Internatet 301 (seng2);;;
Internatet 301 (seng3);;;
Internatet 302 (seng1);;;
Internatet 302 (seng2);;;
Internatet 302 (seng3);;;
Internatet 302 (seng4);;;
Internatet 302 (seng5);;;
Internatet 302 (seng6);;;
Internatet 303 (seng1);;;
Internatet 303 (seng2);;;
Internatet 303 (seng3);;;
Internatet 303 (seng4);;;
Internatet 303 (seng5);;;
Internatet 303 (seng6);;;
Internatet 304 (seng1);;;
Internatet 304 (seng2);;;
Internatet 304 (seng3);;;
Internatet 304 (seng5);;;
Internatet 304 (seng6);;;
Internatet 305 (seng1);;;
Internatet 305 (seng2);;;
Internatet 305 (seng3);;;
Internatet 305 (seng4);;;
Internatet 305 (seng5);;;
Internatet 305 (seng6);;;
Internatet 305 (seng7);;;
Internatet 306 (seng1);;;
Internatet 306 (seng2);;;
Internatet 306 (seng3);;;
Internatet 306 (seng4);;;
Internatet 306 (seng5);;;
Internatet 306 (seng6);;;
Internatet 306 (seng7);;;
Internatet 307 (seng1);;;
Internatet 307 (seng2);;;
Internatet 307 (seng3);;;
Internatet 307 (seng4);;;
Internatet 307 (seng5);;;
Internatet 307 (seng6);;;
Internatet 308 (seng1);;;
Internatet 308 (seng2);;;
Internatet 308 (seng3);;;
Internatet 308 (seng4);;;
Internatet 308 (seng5);;;
Internatet 308 (seng6);;;
Internatet 309 (seng1);;;
Internatet 310 (seng1);;;
Internatet 310 (seng2);;;
Internatet 310 (seng3);;;
Internatet 318 (seng1);;;
Internatet 318 (seng2);;;
Internatet 318 (seng3);;;
Internatet 318 (seng4);;;
Internatet 318 (seng5);;;
Internatet 318 (seng6);;;
Internatet 319 (seng1);;;
Internatet 319 (seng2);;;
Internatet 319 (seng3);;;
Internatet 319 (seng4);;;
Internatet 319 (seng5);;;
Internatet 319 (seng6);;;
Sovesal gutter seng01;;;
Sovesal gutter seng02;;;
Sovesal gutter seng03;;;
Sovesal gutter seng04;;;
Sovesal gutter seng05;;;
Sovesal gutter seng06;;;
Sovesal gutter seng07;;;
Sovesal gutter seng08;;;
Sovesal gutter seng09;;;
Sovesal gutter seng10;;;
Sovesal gutter seng11;;;
Sovesal gutter seng12;;;
Sovesal gutter seng13;;;
Sovesal gutter seng14;;;
Sovesal gutter seng15;;;
Sovesal gutter seng16;;;
Sovesal gutter seng17;;;
Sovesal gutter seng18;;;
Sovesal gutter seng19;;;
Sovesal gutter seng 20;;;
Sovesal jenter seng01;;;
Sovesal jenter seng02;;;
Sovesal jenter seng03;;;
Sovesal jenter seng04;;;
Sovesal jenter seng05;;;
Sovesal jenter seng06;;;
Sovesal jenter seng07;;;
Sovesal jenter seng08;;;
Sovesal jenter seng09;;;
Sovesal jenter seng10;;;
Sovesal jenter seng11;;;
Sovesal jenter seng12;;;
Sovesal jenter seng13;;;
Sovesal jenter seng14;;;
Sovesal jenter seng15;;;
Vårdalen A01- 03 (15,7m);;;
Vårdalen A04- 06(15m);;;
Vårdalen A07- 09 (12,5m);;;
Vårdalen A10- 12 (11,9m);;;
Vårdalen A13- 15 (11,8m);;;
Vårdalen A16- 18 (12,5m);;;
Vårdalen A19- 21 (12,1m);;;
Vårdalen A22- 23 (8m) (telt);;;
Vårdalen B01- 03 (6,7m);;;
Vårdalen B04- 06 (6,5m);;;
Vårdalen B07- 09 (7m);;;
Vårdalen B10- 12 (7,3m);;;
Vårdalen B13- 15 (8,5m);;;
Vårdalen B16- 17 (11,5m- 3,5) ekstra;;;
Vårdalen C01- 03 (10,8m);;;
Vårdalen C04- 06 (11,7m);;;
Vårdalen C07- 08 (6,8m) (telt);;;
Vårdalen D01- 03 (9,3m) (bratt);;;
Vårdalen D04- 06 (9,1m);;;
Vårdalen D07- 09 (9,5m);;;
Vårdalen D10- 12 (9,7m);;;
Vårdalen D13- 15 (8m);;;
Vårdalen D16- 18 (6,6m);;;
Vårdalen D19- 21 (5,5m);;;
Vårdalen D22- 23 (5m) (lite telt);;;
Vårdalen D24- 25 (6m, siste i rekken)(telt);;;
Vårdalen D26- 28 (8m);;;
Vårdalen D29- 31 (7m);;;
Vårdalen D32- 34 (6,3m);;;
Vårdalen D35- 37 (8,7m);;;
Vårdalen D38- 40 (8,8m);;;
Vårdalen D41- 43 (9,1m);;;
Vårdalen D44- 45 (8,5m) (telt);;;
Vårdalen E01- 03 (11m);;;
Vårdalen E04- 06 (10m);;;
Vårdalen E07- 09 (10m);;;
Vårdalen E10- 12 (10m) (siste i rekka);;;
Vårdalen E13- 19 (4m) (sving) (parkering);;;
Vårdalen E20- 22 (12m);;;
Vårdalen E23- 25 (10m);;;
Vårdalen E26- 28 (10m);;;
Vårdalen E29- 31 (10m);;;
Vårdalen E32- 34 (10m);;;
Vårdalen E35;;;
Vårdalen F01- 03 (10m);;;
Vårdalen F04- 06 (9m);;;
Vårdalen F07- 09 (9m);;;
Vårdalen F10- 12 (9m) (siste)(litt bakke);;;
Vårdalen F13- 15 (6,7m) (litt bakke)(telt);;;
Vårdalen F16- 18 (7,3m);;;
Vårdalen F19- 21 (9m);;;
Vårdalen F22- 24 (7,5m) (siste i rekka);;;
Vårdalen F25- 27 (7,5m) (gjerde);;;
Vårdalen F28- 30 (7m) (gjerde);;;
